symbol,Program,Grant Number,Partner Organization,Project Title,Award Amount:,Leveraged Funds:,Proposal_Number,Country,Summary,Notes,coordinates
small_red,Africa,96200-1-J002,Agence Nationale des Parcs Nationaux,MENTOR-FOREST: Building conservation capacity in the Congo Basin - a multi-disciplinary team training program to improve forest stewardship and wildlife conservation,"$599,957.00","$100,000.00",AFR-0141,Gabon and Republic of Congo,"The purpose of this cooperative agreement is to develop an innovative new program to build a team of ten Central African forest resource professionals.  The team will work together to improve upon current forestry programs, identify new forest stewardship strategies and methods, mitigate impacts to wildlife and provide information critical to the sustainable management of forests. MENTOR (Mentoring for ENvironmental Training in Outreach and Resource conservation) is a Wildlife Without Borders Signature Initiative that builds the capacity of teams of African conservationists who can work together to address complex conservation challenges.","This is a very geographically broad project, expanding the entire Congo Basin. The coordinates provided is the central location of the Congo Basin.","-0.126953, 19.902344"
small_red,Africa,96200-1-G001,South African National Parks and University of Pretoria,2011 AHEAD-GLTFCA Working Group Meeting,"$24,999.00","$31,950.00",AFR-0132,Regional -Southern Africa,"The purpose of this project is to bring together stakeholders to strategically plan and provide technical support and resources to address the interface of wildlife health, livestock health, human health and livelihoods for the Great Limpopo Transfrontier Conservation Area (GLTFCA) of South Africa, Mozambique and Zimbabwe.  Through the Animal & Human Health for Environment and Development (AHEAD)-GLTFCA decision-making process, collaborators will design projects to address complex trans-boundary conservation challenges.",,"-23.306386, 31.546631"
small_red,Africa,96200-1-G002,Addis Ababa University and Institute of Biodiversity Conservation,"Training park personnel on fish resource identification and conservation in Alatish National Park, Ethiopia","$24,816.00","$6,160.00",AFR-0081,Ethiopia,"The purpose of this project is to train park personnel in Alatish National Park on diversity, distribution and importance of the fish life of the region.  Park staff will learn methods of sampling, identification, and data collection on fishes in order to improve their conservation and management activities.",,"11.988428, 35.576324"
small_red,Africa,96200-1-G003,Rare Species Conservatory Foundation,Increasing Institutional and Individual Capacity for Crocodile and Hippo Management in Gabon Through the Implementation of a Crocodile Management Unit,"$49,610.00","$36,532.00",AFR-0086,Gabon,"The purpose of this project is to build the capacity of a Crocodile Management Unit within the Gabonese National Parks Agency (ANPN) and the Department of Wildlife to manage and conserve their crocodile and hippopotamus populations in four critical protected areas.  Through workshops and hands-on training, Gabonese personnel will gain an understanding of the threats facing crocodiles and hippopotami, gather data needed to mitigate these threats, assess opportunities for reintroductions, and work on conservation management.",,"0.125122, 9.618378"
small_red,Africa,96200-1-G004,Ecohealth Alliance,Conserving the West African Manatee (Trichechus senegalensis): Capacity Building for Long-Term Success,"$12,081.85","$59,772.00",AFR-0106,Regional-Africa,"The purpose of this project is to build a collaborative network of African researchers and resource managers who can work together to conserve West African manatees in every country in the species range (the African Atlantic coast from Mauritania to Angola, and the interior countries of Mali, Niger and Chad).  Activities include training in manatee fieldwork techniques and provision of needed field equipment in the network members’ countries.  Information on manatees will be disseminated to stakeholders to enable them to make informed decisions regarding the conservation of the West African manatee.","This is a very geographically broad project, expanding the entire habitat range for the manatee in West Africa. The coordinates provided is the central location to the project range.","9.646484, 8.061523"
small_red,Africa,96200-1-G006,Nature Kenya,Planning for the Sustainable Management of Kenya's Tana River Delta,"$43,330.00","$28,850.00",AFR-0108,Kenya,The purpose of this project is to increase Kenya’s capacity to manage the Tana River Delta sustainably by creating a government-led action plan for the delta and by facilitating the implementation of the plan.  Activities include a workshop attended by representatives of all key stakeholder groups; building capacity within civil society to advocate for effective implementation of the plan; and ensuring that the Ramsar designation process for the Tana River Delta is completed as an essential step towards the establishment of a sustainable ‘wise use’ management regime for this vitally important site.,,"-2.405604, 40.249062"
small_red,Africa,96200-1-G008,Zoological Society of London,Building the foundation for a range-wide okapi conservation status assessment,"$93,985.00","$146,517.00",AFR-0114,DRC,"The purpose of this project is to train rangers from the Institut Congolais pour la Conservacion de la Nature (ICCN), the conservation authority of the Democratic Republic of Congo, as part of a major field-based okapi conservation status assessment.  Informative field guides on okapi ecology and public awareness-raising materials will be produced through broader collaborative conservation and community education efforts.",,"3.3934, 25.95459"
small_red,Africa,96200-1-G009,Njala University,"Professional Training in Wildlife Conservation and Protected Area Management 
at Njala University, Sierra Leone","$64,123.00","$12,980.00",AFR-0082,Sierra Leone,"The purpose of this project is for faculty of Njala University to conduct a conservation capacity needs assessment, and develop and implement new in-service training short courses to address identified needs on wildlife conservation and protected area management for individuals working for government agencies, civil society and the private sector.",,"8.110243, -12.075204"
small_red,Africa,96200-1-G014,IUCN-PACO,Capacity Building for improvement of protected areas management in West Africa,"$46,382.00","$45,580.00",AFR-0085,Regional- West Africa,"The purpose of this project is to train 20 conservationists from Mali, Ivory Coast, Benin, Niger and Burkina Faso through a 12-week program on protected area management.  Trainees will learn tools and technical skills that will enable them to better understand conservation challenges and deal with dynamics within and surrounding protected areas in West Africa.","This is a very geographically broad project, expanding all of West Africa. The coordinates provided is the central location to the project range.","9.595935, 8.085327"
small_red,Africa,96200-1-G070,Wildlife Conservation Society,Capacity development for effective management and conservation of cheetah and wild dog populations in Eastern and Southern Africa,"$49,336.00","$37,278.00",AFR-0134,Regional - Eastern and Southern Africa,"This purpose of this project is to improve management of cheetah and wild dog populations in Eastern and Southern Africa.  Activities will include developing course material, conducting a training course for wildlife managers from the range states in the cheetah and wild dog species ranges, and creating a web-based network of managers to share information and experience.","This is a very geographically broad project, expanding throughout several countries in Eastern and Southern Africa. The coordinates provided is Nairobi, Kenya, which is where the project will be based","-1.290422, 36.82272"
